
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:87.35629868562525, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:41, Time:87.35629868562525, Value:0.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:41, Time:87.35629868562525, Value:1.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:88.35629868562525, Value:24
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:88.59137453551355, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:42, Time:88.59137453551355, Value:0.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:42, Time:88.59137453551355, Value:1.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:89.59137453551355, Value:25
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:89.59171777134729, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:43, Time:89.59171777134729, Value:0.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:43, Time:89.59171777134729, Value:1.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:90.59171777134729, Value:26
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:90.69123667339636, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:44, Time:90.69123667339636, Value:0.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:44, Time:90.69123667339636, Value:1.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:91.69123667339636, Value:27
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:92.4531426480557, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:45, Time:92.4531426480557, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:18, Time:94.58931669466757, Value:57393.77706030518
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:94.70071403566885, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:46, Time:94.70071403566885, Value:0.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:46, Time:94.70071403566885, Value:1.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:46, Time:95.68851499357324, Value:987.8009579043834
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:95.70071403566885, Value:28
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:95.76188770215686, Value:96
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:47, Time:95.76188770215686, Value:0.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:47, Time:95.76188770215686, Value:1.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:96.43323403425072, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:48, Time:96.43323403425072, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:3, Time:96.48959989074142, Value:81207.5792891791
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:96.48959989074142, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:30, Time:96.48959989074142, Value:1.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:30, Time:96.48959989074142, Value:34.64369371986521
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:96.76188770215686, Value:29
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:97.76378383134276, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:49, Time:97.76378383134276, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:100.77558517942465, Value:30
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:101.17489325532887, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:51, Time:101.17489325532887, Value:0.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:51, Time:101.17489325532887, Value:1.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:19, Time:102.15866669232952, Value:63617.268139844346
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:102.17489325532887, Value:31
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:102.22862062979031, Value:97
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:52, Time:102.22862062979031, Value:0.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:52, Time:102.22862062979031, Value:1.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:103.22862062979031, Value:32
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:4, Time:105.25558951470519, Value:88508.56908273761
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:105.25558951470519, Value:94
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:34, Time:105.25558951470519, Value:1.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:34, Time:105.25558951470519, Value:36.64069011372433
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:106.57243678212538, Value:97
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:53, Time:106.57243678212538, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:107.79656927737754, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:54, Time:107.79656927737754, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:7, Time:110.46548995665577, Value:89550.12513789358
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:110.46548995665577, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:29, Time:110.46548995665577, Value:1.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:29, Time:110.46548995665577, Value:50.15207270207222
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:115.44006711309491, Value:33
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER LOGIN, User:None, Time:116.6527405221879, Value:19
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:116.6527405221879, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:58, Time:116.6527405221879, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:51, Time:116.79391360256749, Value:15619.020347238617
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:21, Time:117.32118364998972, Value:68776.79485584296
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:117.90141612819178, Value:97
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:59, Time:117.90141612819178, Value:0.0
